gene,estimate,statistic,p.value,method,alternative,pos_corr_rank,neg_corr_rank
SRRM2,-0.015055787,-0.294065068,0.768708183,Kendall's rank correlation tau,two.sided,106,120
ARID2,-0.010619707,-0.207420896,0.835681165,Kendall's rank correlation tau,two.sided,105,121
PLXNA4,-0.00927544,-0.181165087,0.856237998,Kendall's rank correlation tau,two.sided,104,122
TMEM254,-0.008603307,-0.168037182,0.866554028,Kendall's rank correlation tau,two.sided,103,123
SLC7A11,-0.007393467,-0.144406953,0.885179127,Kendall's rank correlation tau,two.sided,102,124
COPS2,-0.005780347,-0.112899981,0.910109851,Kendall's rank correlation tau,two.sided,101,125
C11orf31,-0.002688533,-0.052511619,0.958121037,Kendall's rank correlation tau,two.sided,100,126
BAG1,-0.00161312,-0.031506972,0.974865232,Kendall's rank correlation tau,two.sided,99,127
MAP1B,-0.001478693,-0.028881391,0.976959188,Kendall's rank correlation tau,two.sided,98,128
PURA,-0.00080656,-0.015753486,0.987431057,Kendall's rank correlation tau,two.sided,97,129
ZFHX3,0.00161312,0.031506972,0.974865232,Kendall's rank correlation tau,two.sided,96,130
STC2,0.002688533,0.052511619,0.958121037,Kendall's rank correlation tau,two.sided,95,131
NFIB,0.003360667,0.065639524,0.947664821,Kendall's rank correlation tau,two.sided,94,132
APBB2,0.0040328,0.078767429,0.937217611,Kendall's rank correlation tau,two.sided,93,133
PCSK1,0.005108213,0.099772077,0.920525277,Kendall's rank correlation tau,two.sided,92,134
HELLS,0.00685576,0.133904629,0.89347799,Kendall's rank correlation tau,two.sided,91,135
PTPRG,0.010082,0.196918572,0.84389126,Kendall's rank correlation tau,two.sided,90,136
XRCC5,0.010350854,0.202169734,0.839784033,Kendall's rank correlation tau,two.sided,89,137
FAM63B,0.011157414,0.21792322,0.827488935,Kendall's rank correlation tau,two.sided,88,138
MDH2,0.013577094,0.265183677,0.790867969,Kendall's rank correlation tau,two.sided,87,139
MLLT3,0.013845947,0.270434839,0.78682574,Kendall's rank correlation tau,two.sided,86,140
CLVS2,0.014786934,0.288813906,0.77272379,Kendall's rank correlation tau,two.sided,85,141
NDP,0.01532464,0.29931623,0.764698772,Kendall's rank correlation tau,two.sided,84,142
UBE2E3,0.015593494,0.304567392,0.760695658,Kendall's rank correlation tau,two.sided,83,143
CHL1,0.016803334,0.32819762,0.742762247,Kendall's rank correlation tau,two.sided,82,144
CAMK2N1,0.018013174,0.351827849,0.724967372,Kendall's rank correlation tau,two.sided,81,145
KRAS,0.019626294,0.383334821,0.701471524,Kendall's rank correlation tau,two.sided,80,146
ID4,0.020298427,0.396462726,0.691763701,Kendall's rank correlation tau,two.sided,79,147
ERCC6L,0.022583681,0.441097602,0.65914234,Kendall's rank correlation tau,two.sided,78,148
BRF2,0.022718107,0.443723183,0.657242732,Kendall's rank correlation tau,two.sided,77,149
XPO1,0.022718107,0.443723183,0.657242732,Kendall's rank correlation tau,two.sided,77,149
DHFR,0.023121387,0.451599926,0.651557223,Kendall's rank correlation tau,two.sided,76,150
NRP2,0.023121387,0.451599926,0.651557223,Kendall's rank correlation tau,two.sided,76,150
IL1RAPL1,0.024196801,0.472604573,0.636495319,Kendall's rank correlation tau,two.sided,75,151
FRS2,0.025944347,0.506737126,0.612339277,Kendall's rank correlation tau,two.sided,74,152
RAB11A,0.028095174,0.548746421,0.583179484,Kendall's rank correlation tau,two.sided,73,153
FGF14,0.028229601,0.551372002,0.581378689,Kendall's rank correlation tau,two.sided,72,154
NUDT3,0.029170587,0.569751069,0.568846547,Kendall's rank correlation tau,two.sided,71,155
ATP13A3,0.030380427,0.593381298,0.552926002,Kendall's rank correlation tau,two.sided,70,156
ELOVL4,0.031993548,0.624888269,0.532044392,Kendall's rank correlation tau,two.sided,69,157
TRHDE,0.032396828,0.632765012,0.526887108,Kendall's rank correlation tau,two.sided,68,158
NSUN5,0.035757494,0.698404536,0.48492424,Kendall's rank correlation tau,two.sided,67,159
CCDC64,0.035891921,0.701030117,0.48328422,Kendall's rank correlation tau,two.sided,66,160
RPS6KA3,0.038177174,0.745664994,0.455869811,Kendall's rank correlation tau,two.sided,65,161
ATP2B1,0.038849308,0.758792899,0.447976454,Kendall's rank correlation tau,two.sided,64,162
PSMD5,0.041403414,0.808678937,0.418699847,Kendall's rank correlation tau,two.sided,63,163
BHLHB9,0.042344401,0.827058004,0.408204186,Kendall's rank correlation tau,two.sided,62,164
RABIF,0.043285388,0.84543707,0.397866854,Kendall's rank correlation tau,two.sided,61,165
CSF1,0.044495228,0.869067299,0.384810322,Kendall's rank correlation tau,two.sided,60,166
HELZ,0.045973921,0.89794869,0.369212905,Kendall's rank correlation tau,two.sided,59,167
LNPEP,0.046511628,0.908451013,0.363639984,Kendall's rank correlation tau,two.sided,58,168
SPAG6,0.048931308,0.955711471,0.339218026,Kendall's rank correlation tau,two.sided,57,169
DGKH,0.051619841,1.00822309,0.313347375,Kendall's rank correlation tau,two.sided,56,170
ANTXR2,0.052964108,1.0344789,0.300912336,Kendall's rank correlation tau,two.sided,55,171
CTNNBL1,0.053905095,1.052857966,0.292406093,Kendall's rank correlation tau,two.sided,54,172
GBP3,0.054577228,1.065985871,0.286430029,Kendall's rank correlation tau,two.sided,53,173
SESTD1,0.054846081,1.071237033,0.284062864,Kendall's rank correlation tau,two.sided,52,174
CSNK1A1,0.055249361,1.079113776,0.280537011,Kendall's rank correlation tau,two.sided,51,175
NKAP,0.058744455,1.147378881,0.251225066,Kendall's rank correlation tau,two.sided,50,176
POU6F2,0.061029708,1.192013758,0.233255851,Kendall's rank correlation tau,two.sided,49,177
GBP1,0.062105122,1.213018405,0.225122784,Kendall's rank correlation tau,two.sided,48,178
SON,0.062777255,1.22614631,0.220143621,Kendall's rank correlation tau,two.sided,47,179
SC5D,0.065734642,1.283909091,0.199173766,Kendall's rank correlation tau,two.sided,46,180
CXCL1,0.065869068,1.286534672,0.198256526,Kendall's rank correlation tau,two.sided,45,181
MRPL18,0.067347762,1.315416063,0.18837011,Kendall's rank correlation tau,two.sided,44,182
PDZD2,0.069901869,1.365302101,0.172158119,Kendall's rank correlation tau,two.sided,43,183
CYCS,0.072859255,1.423064882,0.154717347,Kendall's rank correlation tau,two.sided,42,184
