gene,estimate,statistic,p.value,method,alternative,pos_corr_rank,neg_corr_rank
YY1,-0.117757763,-2.300008924,0.021447714,Kendall's rank correlation tau,two.sided,188,44
IGDCC4,-0.115338083,-2.252748467,0.024275013,Kendall's rank correlation tau,two.sided,187,45
HSPA9,-0.114800376,-2.242246143,0.024945468,Kendall's rank correlation tau,two.sided,186,46
GPR137C,-0.113724963,-2.221241495,0.026334609,Kendall's rank correlation tau,two.sided,185,47
PCGF3,-0.112111843,-2.189734524,0.028543496,Kendall's rank correlation tau,two.sided,184,48
NFATC2IP,-0.10700363,-2.089962447,0.036621173,Kendall's rank correlation tau,two.sided,183,49
BDP1,-0.104315096,-2.037450828,0.041604885,Kendall's rank correlation tau,two.sided,182,50
GATAD2B,-0.101895416,-1.990190371,0.046569969,Kendall's rank correlation tau,two.sided,181,51
KIN,-0.098803603,-1.929802008,0.053631375,Kendall's rank correlation tau,two.sided,180,52
ITGB8,-0.097997043,-1.914048523,0.055613956,Kendall's rank correlation tau,two.sided,179,53
NUDT3,-0.097593763,-1.90617178,0.056627922,Kendall's rank correlation tau,two.sided,178,54
TBC1D15,-0.095846216,-1.872039227,0.061201177,Kendall's rank correlation tau,two.sided,177,55
ZKSCAN1,-0.095174083,-1.858911322,0.063039709,Kendall's rank correlation tau,two.sided,176,56
ZC3H14,-0.095039656,-1.856285741,0.06341284,Kendall's rank correlation tau,two.sided,175,57
MKL2,-0.094501949,-1.845783418,0.064923659,Kendall's rank correlation tau,two.sided,174,58
NKD1,-0.094501949,-1.845783418,0.064923659,Kendall's rank correlation tau,two.sided,174,58
KLHL7,-0.092485549,-1.806399703,0.070855928,Kendall's rank correlation tau,two.sided,173,59
TMEM106B,-0.091678989,-1.790646217,0.073350085,Kendall's rank correlation tau,two.sided,172,60
EPC1,-0.091006856,-1.777518312,0.075483001,Kendall's rank correlation tau,two.sided,171,61
CLPX,-0.090200296,-1.761764827,0.07810904,Kendall's rank correlation tau,two.sided,170,62
BAG1,-0.089259309,-1.74338576,0.081266254,Kendall's rank correlation tau,two.sided,169,63
MDH2,-0.088587176,-1.730257855,0.083584216,Kendall's rank correlation tau,two.sided,168,64
HMGB3,-0.086436349,-1.68824856,0.091363525,Kendall's rank correlation tau,two.sided,167,65
MTMR4,-0.085764216,-1.675120655,0.093910561,Kendall's rank correlation tau,two.sided,166,66
RAB11A,-0.083747816,-1.63573694,0.101894655,Kendall's rank correlation tau,two.sided,165,67
SLC39A8,-0.083478962,-1.630485779,0.102998868,Kendall's rank correlation tau,two.sided,164,68
ARPP19,-0.080656002,-1.575348578,0.115176007,Kendall's rank correlation tau,two.sided,163,69
PPM1A,-0.079715015,-1.556969512,0.119477724,Kendall's rank correlation tau,two.sided,162,70
XRCC5,-0.078505175,-1.533339283,0.12519228,Kendall's rank correlation tau,two.sided,161,71
HNRNPA3,-0.077967469,-1.522836959,0.127799501,Kendall's rank correlation tau,two.sided,160,72
