"","ï..Sample","Original.label","Treatment","Weeks.post.transplant","WBC","RBC","HGB","HCT","MCV","MCH","MCHC","PLT","MPV","RDW","Percent.Lym","Percent.Mon","Percent.Gra","Number.Lym","Number.Mon","Number.Gra","GFP"
"47","miR532.9","BMT2.532-OE (cage 3/4 REP)","miR-532",11,3.9,10.83,15.3,47.4,44,14.1,32.2,1084,5.7,15.4,NA,NA,NA,1.9,0.3,1.7,53.8
"48","miR532.10","BMT2.532-OE (cage 2/4 NEP)","miR-532",11,4.8,11.19,15.8,48,43,14.1,32.8,927,7.1,17.6,NA,NA,NA,0.9,0.7,3.2,70.5
"49","miR532.11","BMT2.532-OE (cage 4/4 LEP)","miR-532",11,9.4,10.75,15,46.7,43,13.9,32,944,6.6,15.3,NA,NA,NA,5,0.6,3.8,65.8
"50","miR532.12","BMT2.532-OE (cage 4/4 BEP)","miR-532",11,6.4,10.97,15.2,47.5,43,13.9,32,560,6.1,15.1,NA,NA,NA,3.4,0.5,2.5,72.1
"51","miR532.13","BMT2.532-OE (cage 4/4 NEP)","miR-532",11,6.6,10.92,15,46.5,43,13.8,32.3,624,7,15.1,NA,NA,NA,1.7,0.3,4.6,78.4
"52","miR532.14","BMT2.532-OE (cage 3/4 NEP)","miR-532",11,9.3,10.57,14.9,47.3,45,14.1,31.5,939,6.1,14.3,NA,NA,NA,3,0.5,5.8,43.1
"53","miR532.15","BMT2.532-OE (cage 2/4 REP)","miR-532",11,6.1,10.16,14.6,45.6,45,14.3,31.9,909,6,16.1,NA,NA,NA,2,0.3,3.8,49.9
"54","miR532.16","BMT2.532-OE (cage 1/4 BEP)","miR-532",11,7.4,10.5,14.9,46.5,44,14.2,32.1,796,5.9,15.8,NA,NA,NA,4.4,0.6,2.4,66.2
"55","MIG.10","BMT2.MIG (cage 2/2 REP)","control",15,9.3,10.93,15.6,47.7,44,14.2,32.7,667,7.1,15.5,NA,NA,NA,5.6,0.9,2.8,84
"56","miR532.10","BMT2.532-OE (cage 2/4 NEP)","miR-532",15,54.3,5.32,9.3,28.1,53,17.4,32.9,42,9.3,21.5,NA,NA,NA,6.7,5.8,41.8,6.17
"57","MIG.1","BMT1.MIG (NEP cage 1/2)","control",18,9.8,9.58,15,46.5,49,15.7,32.2,724,6.1,15.3,NA,NA,NA,2.7,0.5,6.6,74
"58","MIG.2","BMT1.MIG (REP cage 1/2)","control",18,20.2,8.82,12.9,42,48,14.6,30.8,188,7.9,16.1,NA,NA,NA,3.3,0.9,16,88.4
"59","MIG.3","BMT1.MIG (BEP cage 2/2)","control",18,8.4,9.38,13.8,42.2,45,14.7,32.6,443,7.1,17.1,NA,NA,NA,3.2,0.8,4.4,89.7
"60","MIG.4","BMT1.MIG (REP cage 2/2)","control",18,7.1,9.68,14,43.4,45,14.5,32.3,818,6.9,16.1,NA,NA,NA,3.6,0.6,2.9,79.4
"61","MIG.5","BMT2.MIG (cage 2/2 BEP)","control",17,3.1,10.64,15.1,46.5,44,14.2,32.5,834,6.4,15.8,NA,NA,NA,1.7,0.2,1.2,NA
"62","MIG.6","BMT2.MIG (cage 2/2 LEP)","control",17,8.4,11.04,15.6,48.6,44,14.2,32.2,679,6.1,14.6,NA,NA,NA,3.6,0.7,4.1,NA
"63","MIG.7","BMT2.MIG (cage 1/2 LEP)","control",17,10.5,9.94,14.8,44.2,44,14.9,33.6,726,7.2,15.6,NA,NA,NA,6.3,0.8,3.4,NA
"64","MIG.8","BMT2.MIG (cage 1/2 BEP)","control",17,5.6,9.85,14.6,43.5,44,14.8,33.5,729,6,15.3,NA,NA,NA,3.2,0.6,1.8,NA
"65","MIG.9","BMT2.MIG (cage 2/2 NEP)","control",17,3.5,10.17,14.6,44,43,14.3,33.1,1122,6.2,15.5,NA,NA,NA,1.3,0.2,2,NA
"66","MIG.10","BMT2.MIG (cage 2/2 REP)","control",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","MIG.11","BMT2.MIG (cage 1/2 REP)","control",17,9.3,10.3,15.2,45.7,44,14.8,33.3,493,7.4,15.3,NA,NA,NA,5.3,0.7,3.3,NA
"68","miR532.1","BMT2.532-OE (cage 4/4 REP)","miR-532",17,2.5,10.47,14.6,45.8,44,14,32,1001,6.2,15.3,NA,NA,NA,1.3,0.1,1.1,NA
"69","miR532.2","BMT2.532-OE (cage 3/4 LEP)","miR-532",17,2.2,9.38,13.5,42,45,14.4,32.2,1522,5.6,16.5,NA,NA,NA,1.2,0.2,0.8,NA
"70","miR532.3","BMT2.532-OE (cage 1/4 LEP)","miR-532",17,7.8,10.13,14.6,45,44,14.4,32.5,913,6.2,15.3,NA,NA,NA,3.7,0.6,3.5,NA
"71","miR532.4","BMT2.532-OE (cage 2/4 LEP)","miR-532",17,9,10.3,15.3,45.7,44,14.8,33.4,980,6.4,15.8,NA,NA,NA,5.2,0.8,3,NA
"72","miR532.5","BMT2.532-OE (cage 1/4 REP)","miR-532",17,3.4,10.44,15.4,46.7,45,14.7,32.8,1006,5.8,15.4,NA,NA,NA,1.6,0.2,1.6,NA
"73","miR532.6","BMT2.532-OE (cage 1/4 NEP)","miR-532",17,5.5,11.31,15.7,48.5,43,13.9,32.4,508,6.8,15.5,NA,NA,NA,2.5,0.4,2.6,NA
"74","miR532.7","BMT2.532-OE (cage 2/4, BEP)","miR-532",17,7.1,9.78,14.1,43.3,44,14.4,32.5,827,6,16.1,NA,NA,NA,3.4,0.5,3.2,NA
"75","miR532.8","BMT2.532-OE (cage 3/4 BEP)","miR-532",17,4.4,8.24,12.1,37,45,14.7,32.8,1444,7.1,17.8,NA,NA,NA,3,0.4,1,NA
"76","miR532.9","BMT2.532-OE (cage 3/4 REP)","miR-532",17,9.1,10.05,14.1,44,44,14,32.1,1014,6.2,15.9,NA,NA,NA,4.1,0.7,4.3,NA
"77","miR532.10","BMT2.532-OE (cage 2/4 NEP)","miR-532",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","miR532.11","BMT2.532-OE (cage 4/4 LEP)","miR-532",17,6.5,10.4,14.8,46,44,14.2,32.1,905,6.1,15.1,NA,NA,NA,3.5,0.6,2.4,NA
"79","miR532.12","BMT2.532-OE (cage 4/4 BEP)","miR-532",17,3.6,10.51,14.7,46,44,14,32,688,6.2,15.4,NA,NA,NA,1.9,0.3,1.4,NA
"80","miR532.13","BMT2.532-OE (cage 4/4 NEP)","miR-532",17,5.2,9.77,13.6,42.6,44,14,32.1,577,6.5,16.2,NA,NA,NA,1.8,0.4,3,NA
"81","miR532.14","BMT2.532-OE (cage 3/4 NEP)","miR-532",17,8.2,9.4,13.9,41,44,14.8,33.9,974,6.3,16.5,NA,NA,NA,4,0.7,3.5,NA
"82","miR532.15","BMT2.532-OE (cage 2/4 REP)","miR-532",17,7.5,9.5,13.7,42.2,44,14.4,32.5,1133,6,16.6,NA,NA,NA,2.9,0.5,4.1,NA
"83","miR532.16","BMT2.532-OE (cage 1/4 BEP)","miR-532",17,4.6,10.26,14.9,45.7,45,14.5,32.6,790,6,15.6,NA,NA,NA,2.4,0.3,1.9,NA
"84","MIG.1","BMT1.MIG (NEP cage 1/2)","control",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","MIG.2","BMT1.MIG (REP cage 1/2)","control",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","MIG.3","BMT1.MIG (BEP cage 2/2)","control",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","MIG.4","BMT1.MIG (REP cage 2/2)","control",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","MIG.5","BMT2.MIG (cage 2/2 BEP)","control",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","MIG.6","BMT2.MIG (cage 2/2 LEP)","control",21,13.2,10.67,15.3,47,44,14.3,32.4,739,6.3,15.6,NA,NA,NA,6.4,1.1,5.7,60.1
"90","MIG.7","BMT2.MIG (cage 1/2 LEP)","control",21,5,9.71,14.4,43.8,45,14.8,32.9,1121,6.2,15.8,NA,NA,NA,2.8,0.4,1.8,58.8
"91","MIG.8","BMT2.MIG (cage 1/2 BEP)","control",21,6.2,9.46,13,41.3,44,13.7,31.5,886,6.1,16,NA,NA,NA,2.3,0.4,3.5,83.5
"92","MIG.9","BMT2.MIG (cage 2/2 NEP)","control",21,6.6,9.67,14.3,43,45,14.8,33.2,1478,6.3,15.7,NA,NA,NA,4.1,0.5,2,91.4
"93","MIG.10","BMT2.MIG (cage 2/2 REP)","control",21,8.5,10.72,14.8,46.2,43,13.8,32.1,771,7.2,15.5,NA,NA,NA,4.3,0.8,3.4,94.9
"94","MIG.11","BMT2.MIG (cage 1/2 REP)","control",21,7.4,9.46,13.6,41.9,44,14.4,32.4,750,6.6,16.3,NA,NA,NA,3.3,0.5,3.6,56.2
"95","miR532.1","BMT2.532-OE (cage 4/4 REP)","miR-532",21,3.6,10.73,15,47.3,44,14,31.7,1100,6.1,15.4,NA,NA,NA,2,0.3,1.3,68.2
"96","miR532.2","BMT2.532-OE (cage 3/4 LEP)","miR-532",21,5.5,9.38,14.4,43.4,46,15.3,33.1,1205,5.9,14.9,NA,NA,NA,3.1,0.5,1.9,26.2
"97","miR532.3","BMT2.532-OE (cage 1/4 LEP)","miR-532",21,9.8,9.74,14.5,44.3,46,14.9,32.8,1074,6.3,15.8,NA,NA,NA,3.7,0.7,5.4,67.2
"98","miR532.4","BMT2.532-OE (cage 2/4 LEP)","miR-532",21,3.2,8.7,13.3,41.3,47,15.3,32.3,953,6.1,17.9,NA,NA,NA,2,0.2,1,74.2
"99","miR532.5","BMT2.532-OE (cage 1/4 REP)","miR-532",21,8.2,10.52,15.4,47.4,45,14.6,32.4,903,6.6,15.6,NA,NA,NA,4.9,0.6,2.7,26.8
"100","miR532.6","BMT2.532-OE (cage 1/4 NEP)","miR-532",21,6.5,10.14,13.9,44.4,44,13.7,31.3,722,6.7,15.8,NA,NA,NA,2.9,0.4,3.2,65.2
"101","miR532.7","BMT2.532-OE (cage 2/4, BEP)","miR-532",21,6,9.84,15,45.6,46,15.2,32.8,905,6.4,17,NA,NA,NA,3.6,0.6,1.8,60.4
"102","miR532.8","BMT2.532-OE (cage 3/4 BEP)","miR-532",21,3.8,7.39,11.6,36.2,49,15.7,32.1,2494,6.4,18,NA,NA,NA,2.7,0.4,0.7,39.5
"103","miR532.9","BMT2.532-OE (cage 3/4 REP)","miR-532",21,8.3,9.95,14.1,44,44,14.2,32.1,1091,6.1,15.4,NA,NA,NA,4.1,0.6,3.6,35.7
"104","miR532.10","BMT2.532-OE (cage 2/4 NEP)","miR-532",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","miR532.11","BMT2.532-OE (cage 4/4 LEP)","miR-532",21,12.4,9.68,14.5,43.4,45,15,33.3,617,7.6,15.4,NA,NA,NA,5.1,0.9,6.4,56
"106","miR532.12","BMT2.532-OE (cage 4/4 BEP)","miR-532",21,7.6,10.29,15.1,45.8,45,14.6,32.9,578,7.2,15.8,NA,NA,NA,3.9,0.6,3.1,78.1
"107","miR532.13","BMT2.532-OE (cage 4/4 NEP)","miR-532",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","miR532.14","BMT2.532-OE (cage 3/4 NEP)","miR-532",21,10,9.53,13.8,41.9,44,14.5,33.1,904,6.1,15.5,NA,NA,NA,4.2,0.7,5.1,27.1
"109","miR532.15","BMT2.532-OE (cage 2/4 REP)","miR-532",21,4.3,8.8,13.7,42.4,48,15.6,32.3,1158,5.9,19.1,NA,NA,NA,2.3,0.3,1.7,55.8
"110","miR532.16","BMT2.532-OE (cage 1/4 BEP)","miR-532",21,7.9,9.52,14.4,44,46,15.2,32.8,867,6.2,16,NA,NA,NA,5,0.5,2.4,62.1
"111","MIG.1","BMT1.MIG (NEP cage 1/2)","control",28,11.1,8.83,14.8,45.1,51,16.7,32.8,896,6.4,15.6,NA,NA,NA,5.6,1,4.5,73.1
"112","MIG.2","BMT1.MIG (REP cage 1/2)","control",28,7.6,8.74,13.1,41.7,48,15,31.5,539,6.4,17.2,NA,NA,NA,2.7,0.6,4.3,86
"113","MIG.3","BMT1.MIG (BEP cage 2/2)","control",28,8.4,7.67,13,39.1,51,16.9,33.2,143,8,17.4,NA,NA,NA,2.8,0.8,4.8,94.1
"114","MIG.4","BMT1.MIG (REP cage 2/2)","control",28,4.8,9,13.7,41.1,46,15.2,33.3,864,6.6,16.6,NA,NA,NA,2.4,0.4,2,69.1
"115","MIG.5","BMT2.MIG (cage 2/2 BEP)","control",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","MIG.6","BMT2.MIG (cage 2/2 LEP)","control",27,5.4,10.28,15.1,46.2,45,14.7,32.6,814,5.8,15.2,NA,NA,NA,2.7,0.4,2.3,NA
"117","MIG.7","BMT2.MIG (cage 1/2 LEP)","control",27,8.9,10.07,15,46.4,46,14.9,32.4,1009,6.2,15,NA,NA,NA,5.7,0.7,2.5,NA
"118","MIG.8","BMT2.MIG (cage 1/2 BEP)","control",27,7.2,9.13,13.4,43.5,48,14.7,30.8,678,6.3,18.5,NA,NA,NA,4.3,0.6,2.3,NA
"119","MIG.9","BMT2.MIG (cage 2/2 NEP)","control",27,5.9,9.43,14.3,43,46,15.2,33.3,1804,6,15.7,NA,NA,NA,3.4,0.5,2,NA
"120","MIG.10","BMT2.MIG (cage 2/2 REP)","control",27,3.9,11.37,15.6,50.1,44,13.7,31.1,679,6.6,14.6,NA,NA,NA,2.2,0.3,1.4,NA
"121","MIG.11","BMT2.MIG (cage 1/2 REP)","control",27,5.1,9.89,14.3,45.3,46,14.4,31.5,536,6.6,16.3,NA,NA,NA,3.3,0.5,1.3,NA
"122","miR532.1","BMT2.532-OE (cage 4/4 REP)","miR-532",27,4,10.3,14.8,45.7,44,14.4,32.5,596,6.7,15.1,NA,NA,NA,1.6,0.3,2.1,NA
"123","miR532.2","BMT2.532-OE (cage 3/4 LEP)","miR-532",27,3.1,9.9,14.9,44.8,45,15.1,33.3,1174,5.9,15,NA,NA,NA,1.7,0.3,1.1,NA
"124","miR532.3","BMT2.532-OE (cage 1/4 LEP)","miR-532",27,5,10.11,15.5,47.1,47,15.3,32.9,1014,5.8,15,NA,NA,NA,2.2,0.3,2.5,NA
"125","miR532.4","BMT2.532-OE (cage 2/4 LEP)","miR-532",27,7.4,10.11,15.2,46.7,46,15,32.5,494,6.3,14.9,NA,NA,NA,3.5,0.6,3.3,NA
"126","miR532.5","BMT2.532-OE (cage 1/4 REP)","miR-532",27,6,10.56,15.5,48.7,46,14.7,31.8,1029,6,15.2,NA,NA,NA,3.7,0.5,1.8,NA
"127","miR532.6","BMT2.532-OE (cage 1/4 NEP)","miR-532",27,5.1,10.3,14.6,45.7,44,14.2,31.9,777,6,15.6,NA,NA,NA,2.5,0.4,2.2,NA
"128","miR532.7","BMT2.532-OE (cage 2/4, BEP)","miR-532",27,5,8.69,13.7,41.5,48,15.7,33,887,5.6,15.7,NA,NA,NA,3.2,0.4,1.4,NA
"129","miR532.8","BMT2.532-OE (cage 3/4 BEP)","miR-532",27,1.8,6.98,12.2,37.4,54,17.5,32.6,1163,6.2,17.2,NA,NA,NA,1.1,0.2,0.6,NA
"130","miR532.9","BMT2.532-OE (cage 3/4 REP)","miR-532",27,4.7,9.79,14.1,42.7,44,14.4,33,1196,6.1,16.3,NA,NA,NA,2.1,0.3,2.3,NA
"131","miR532.10","BMT2.532-OE (cage 2/4 NEP)","miR-532",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","miR532.11","BMT2.532-OE (cage 4/4 LEP)","miR-532",27,6.4,9.73,14.7,44.6,46,15.1,33,946,5.7,15,NA,NA,NA,3.4,0.5,2.5,NA
"133","miR532.12","BMT2.532-OE (cage 4/4 BEP)","miR-532",27,3.3,9.77,14.1,44.1,45,14.5,32,665,5.7,14.7,NA,NA,NA,1.7,0.3,1.3,NA
"134","miR532.13","BMT2.532-OE (cage 4/4 NEP)","miR-532",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","miR532.14","BMT2.532-OE (cage 3/4 NEP)","miR-532",27,6.8,10.32,14.4,45.9,44,14,31.5,887,5.9,16.2,NA,NA,NA,3.1,0.5,3.2,NA
"136","miR532.15","BMT2.532-OE (cage 2/4 REP)","miR-532",27,3.8,7.38,12,37.3,51,16.3,32.2,1126,5.8,16.2,NA,NA,NA,2.2,0.3,1.3,NA
"137","miR532.16","BMT2.532-OE (cage 1/4 BEP)","miR-532",27,5,9.01,13,39.4,44,14.4,33,1572,5.7,16,NA,NA,NA,2.2,0.3,2.5,NA
"138","MIG.1","BMT1.MIG (NEP cage 1/2)","control",32,11,8.26,13.8,42,51,16.6,32.7,923,5.7,16.3,NA,NA,NA,5.9,0.9,4.2,69.2
"139","MIG.2","BMT1.MIG (REP cage 1/2)","control",32,12.2,9.25,14.1,44,48,15.3,32.1,636,6.3,15.2,NA,NA,NA,5.6,1.1,5.5,81
"140","MIG.3","BMT1.MIG (BEP cage 2/2)","control",32,7.7,6.96,12.4,37.4,54,17.9,33.3,67,8.5,17.4,NA,NA,NA,2.4,0.8,4.5,93.6
"141","MIG.4","BMT1.MIG (REP cage 2/2)","control",32,3,8.85,13.8,41.8,47,15.6,33,943,5.9,16.1,NA,NA,NA,1.4,0.2,1.4,72.5
"142","MIG.5","BMT2.MIG (cage 2/2 BEP)","control",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","MIG.6","BMT2.MIG (cage 2/2 LEP)","control",33,5.7,9.41,13.8,43.2,46,14.6,31.9,890,5.8,15.3,NA,NA,NA,2.9,0.5,2.3,65.5
"144","MIG.7","BMT2.MIG (cage 1/2 LEP)","control",33,8.7,9.58,14.7,44.1,46,15.4,33.4,1090,6.4,15.7,NA,NA,NA,5.5,0.6,2.6,52.2
"145","MIG.8","BMT2.MIG (cage 1/2 BEP)","control",33,9.6,6.56,11.7,35.7,54,17.9,32.8,521,6.8,18.2,NA,NA,NA,4.5,0.8,4.3,90.1
"146","MIG.9","BMT2.MIG (cage 2/2 NEP)","control",33,5.6,8.33,12.9,39.1,47,15.5,33,1940,6.2,16.1,NA,NA,NA,2.9,0.5,2.2,91.9
